Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Treg Treg Treg Treg Treg Treg Treg Treg Treg ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ
   0  180  360  540  720 1080 1440 1800 2160    0  180  360  540  720 1080 1440 1800 2160    0  180  360  540  720 1080 1440 1800 2160  180  185  190  195  200  205  210  270  360  540  543  545  547  550  570  720
9.499992e+01 1.515317e+01 6.576198e+01 2.106267e+01 4.288282e+01 3.964363e+01 4.938835e+01 7.381875e+01 7.020444e+01 1.211264e+01 2.901060e+00 6.204968e+00 5.118270e+00 5.152799e+00 6.748875e+00 8.905150e+00 6.996500e+00 6.995267e+00 3.448080e+01 5.698000e+00 1.108596e+01 5.425430e+00 1.813018e+01 1.447925e+01 2.387025e+01 1.484545e+01 1.979862e+01 0.000000e+00 1.159241e+13 5.175183e+12 1.863066e+12 8.280292e+11 6.210219e+11 4.140146e+11 2.070073e+11 0.000000e+00 0.000000e+00 8.694307e+12 6.624234e+12 1.656058e+12 4.140146e+11 2.070073e+11 0.000000e+00
