"Time" ; 180 ; 185 ; 190 ; 195 ; 200 ; 205 ; 210 ; 270 ; 360 ; 360 ; 363 ; 365 ; 367 ; 370 ; 390 ; 540
"ATZ" ; 0 ; 2800 ; 1250 ; 450 ; 200 ; 150 ; 100 ; 50 ; 0 ; 0 ; 2100 ; 1600 ; 400 ; 100 ; 50 ; 0
