Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Treg Treg Treg Treg Treg Treg Treg Treg ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ
   0  180  540  720 1080 1440 1800 2160    0  180  360  540  720 1080 1440 1800 2160    0  180  540  720 1080 1440 1800 2160  180  185  190  195  200  205  210  270  360  540  543  545  547  550  570  720
9.911333e+01 3.150360e+01 9.345948e+00 5.910720e+01 4.005600e+01 7.193800e+01 6.182400e+01 9.466333e+01 9.474000e+00 3.268560e+00 4.711200e+00 1.258648e+01 4.394160e+00 3.225200e+01 1.959733e+01 1.373400e+01 8.790667e+00 2.578000e+01 3.826560e+00 7.300332e+00 2.640960e+01 1.316000e+01 1.224067e+01 1.970400e+01 1.302200e+01 0.000000e+00 1.159241e+13 5.175183e+12 1.863066e+12 8.280292e+11 6.210219e+11 4.140146e+11 2.070073e+11 0.000000e+00 0.000000e+00 8.694307e+12 6.624234e+12 1.656058e+12 4.140146e+11 2.070073e+11 0.000000e+00
