Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th1 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Th17 Treg Treg Treg Treg Treg Treg Treg Treg Treg ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ ATZ
   0  180  360  540  720 1080 1440 1800 2160    0  180  360  540  720 1080 1440 1800 2160    0  180  360  540  720 1080 1440 1800 2160  180  185  190  195  200  205  210  270  360  540  543  545  547  550  570  720
6.260040e+01 9.317355e+00 3.810149e+01 1.446668e+01 3.359893e+01 2.845112e+01 3.958324e+01 4.871400e+01 7.363457e+01 7.227911e+00 2.100277e+00 3.537366e+00 3.640763e+00 3.403944e+00 1.087712e+01 5.950533e+00 4.647000e+00 4.899086e+00 3.071578e+01 3.069120e+00 9.563400e+00 6.440035e+00 1.082339e+01 1.998320e+01 1.468222e+01 1.160340e+01 1.153737e+01 0.000000e+00 1.159241e+13 5.175183e+12 1.863066e+12 8.280292e+11 6.210219e+11 4.140146e+11 2.070073e+11 0.000000e+00 0.000000e+00 8.694307e+12 6.624234e+12 1.656058e+12 4.140146e+11 2.070073e+11 0.000000e+00
